6	100	19216800000202	1541873359500	1104,1004,904	2942.00000,3294.66667,3780.00000	234.35870,378.66197,0.00000	0.88621,1.02871,0.95238	0.09357,0.05967,0.00000	163.87781,172.80415,241.94991	44.15860,66.74520,1.63983	164.19749,178.83086,173.88450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.00000,58.00000,60.00000	4.12311,1.63299,0.00000	57.75000,56.66667,63.00000	2.86138,4.92161,0.00000		
7	1	19216800000202	1541873367000	406,506,606,706,806	36441.25000,36795.00000,33309.00000,37437.33333,33875.00000	2798.88419,3405.00000,81.00000,3697.15759,2981.00000	0.51324,0.51759,0.44372,0.48939,0.46125	0.03977,0.04211,0.03175,0.05879,0.04059	202.83716,275.51020,278.75696,283.59438,268.21521	67.65258,10.20408,13.45083,27.39513,21.63986	356.37852,355.23636,355.91438,0.75385,358.53120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	136.75000,138.00000,121.50000,135.33333,125.00000	10.42533,12.00000,4.50000,14.70450,11.00000	266.50000,266.50000,274.50000,277.00000,271.00000	3.20156,1.50000,9.50000,5.35413,0.00000		
8	100	19216800000202	1541873367000	303,402,403,503,602,702,802	3139.00000,3419.00000,3640.00000,3471.00000,3294.00000,3861.50000,3526.33333	189.00000,91.00000,130.00000,299.00000,122.00000,445.50000,552.01469	0.82998,0.82163,0.86154,0.87238,0.88525,1.07766,1.07910	0.01748,0.00913,0.03077,0.01992,0.03279,0.15963,0.11186	400.00000,311.88811,254.74525,357.14286,340.90909,278.62338,293.70975	0.00000,88.11189,30.96903,71.42857,87.66234,25.37662,8.75176	347.61924,10.17551,356.98721,346.75948,358.49256,4.18492,359.29268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51.00000,53.00000,56.00000,55.00000,54.00000,64.50000,61.66667	1.00000,1.00000,2.00000,3.00000,2.00000,8.50000,8.01388	61.50000,64.50000,65.00000,63.00000,61.00000,60.00000,57.00000	2.50000,0.50000,0.00000,2.00000,0.00000,1.00000,1.41421		
7	1	19216800000203	1541873376000	1006,906	27818.00000,30859.33333	472.00000,2463.12462	0.46721,0.48512	0.00027,0.02294	215.68627,209.42456	0.00000,9.64146	184.76364,185.27390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114.00000,122.33333	1.00000,7.71722	244.00000,252.00000	2.00000,4.54606		
8	100	19216800000203	1541873376000	1002,902,802	3220.00000,3449.00000,3421.00000	140.00000,89.00000,117.00000	0.97576,0.94208,0.94999	0.04242,0.00874,0.00083	303.92157,302.31043,241.25874	0.00000,1.61113,59.44056	178.09085,182.54480,194.42077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56.00000,57.00000,57.00000	0.00000,1.00000,1.00000	57.50000,60.50000,60.00000	2.50000,0.50000,1.00000		
9	1	19216800000202	1541873379000	507,607,707,807	34049.00000,35320.66667,33373.00000,33148.50000	251.00000,2341.08256,163.00000,61.50000	0.53959,0.52112,0.47205,0.45640	0.03184,0.03341,0.01650,0.00085	263.56589,183.90818,352.71242,414.47611	0.00000,81.49741,136.49621,74.73252	347.90524,9.09028,355.46223,352.72500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	135.50000,135.66667,125.50000,123.00000	4.50000,8.80656,2.50000,0.00000	251.50000,260.33333,266.00000,269.50000	6.50000,1.69967,4.00000,0.50000		
10	100	19216800000202	1541873379000	403,503,703,803	3886.00000,4008.66667,3717.00000,3661.00000	58.00000,421.35127,189.00000,245.00000	0.86586,0.89945,0.93651,0.95108	0.01292,0.04294,0.04762,0.03305	348.83721,362.94120,485.10111,252.85925	0.00000,255.30044,197.33132,34.91053	358.69805,354.23211,358.53120,1.63658	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58.00000,60.00000,59.00000,59.00000	0.00000,4.32049,3.00000,3.00000	67.00000,66.66667,63.00000,62.00000	1.00000,2.62467,0.00000,1.00000		
9	1	19216800000203	1541873383500	1104,1004,904,804,704	14848.00000,14934.66667,15570.25000,15994.00000,15210.00000	288.00000,515.78118,662.43769,495.38066,195.00000	0.46410,0.46508,0.44847,0.43424,0.40000	0.02454,0.02902,0.03971,0.02130,0.00513	257.14286,188.65594,156.27394,208.24469,127.08521	0.00000,48.81930,44.94385,33.13208,34.88662	172.87498,178.66778,181.76239,177.91743,190.61966	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	83.00000,83.33333,83.50000,83.33333,78.00000	3.00000,4.02768,4.76970,3.29983,1.00000	179.00000,179.33333,186.75000,192.00000,195.00000	3.00000,2.49444,7.15454,2.16025,0.00000		
10	100	19216800000203	1541873383500	1102,1001,901,801,802,701	1253.00000,1307.50000,1476.00000,1548.00000,1553.00000,1558.00000	5.00000,64.99808,58.78775,0.00000,5.00000,0.00000	0.86972,0.87129,0.87945,0.83721,0.88202,0.92683	0.04920,0.05078,0.03507,0.00000,0.04481,0.00000	180.95238,174.25468,179.12125,211.21795,199.89166,166.06733	0.00000,26.65833,29.37279,19.55128,30.87757,2.94676	193.49573,180.77422,177.39744,178.21009,186.34019,177.39744	0	0	0	0	0	0	0	0	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	33.00000,33.75000,36.00000,36.00000,37.00000,38.00000	1.00000,1.78536,0.00000,0.00000,1.00000,0.00000	38.00000,38.75000,41.00000,43.00000,42.00000,41.00000	1.00000,0.43301,1.63299,0.00000,1.00000,0.00000		
9	1	19216800000203	1541873388000	105	6255.00000	0.00000	0.32374	0.00000	-1	0.00000	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45.00000	0.00000	139.00000	0.00000		
